number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
63,PRUNED,17.98745371500651,2026-01-23T20:53:50.747330,2026-01-23T20:54:00.362313,9.614983,{},8,952,19.816608538975693,320,0.0009218346376035837,0.37583088324648006,OFF,1024
64,PRUNED,15.5083846728007,2026-01-23T20:54:00.370910,2026-01-23T20:54:23.067098,22.696188,{},8,995,17.275286316953117,320,0.0006325329908309438,0.34493396645499,OFF,1024
65,PRUNED,20.189309565226235,2026-01-23T20:54:23.076191,2026-01-23T20:54:33.507652,10.431461,{},8,918,21.97951332241606,256,0.0010840675244543616,0.3675823881215536,OFF,1024
66,PRUNED,21.267685413360596,2026-01-23T20:54:33.515570,2026-01-23T20:54:42.371890,8.85632,{},32,632,17.193154202238905,320,0.0008579785251570318,0.3922809210720028,OFF,1024
67,PRUNED,20.03349405924479,2026-01-23T20:54:42.383236,2026-01-23T20:54:57.587267,15.204031,{},8,875,19.20069249535257,320,0.0014092149107274004,0.28544618352448214,OFF,2048
68,PRUNED,22.169940567016603,2026-01-23T20:54:57.594561,2026-01-23T20:55:08.045800,10.451239,{},8,837,23.845627500824758,320,0.0034593177735671417,0.3563448665369642,OFF,1024
69,PRUNED,22.83807004292806,2026-01-23T20:55:08.054207,2026-01-23T20:55:17.060424,9.006217,{},16,683,20.690828842308107,320,0.000559684572365005,0.3337660976475319,OFF,1024
70,PRUNED,14.312886842091878,2026-01-23T20:55:17.068447,2026-01-23T20:55:42.019681,24.951234,{},8,789,18.515622785114896,512,0.0007713325691231443,0.3767635562841968,OFF,512
71,COMPLETE,7.385644765694936,2026-01-23T20:55:42.027758,2026-01-23T21:07:00.530962,678.503204,"{""best_epoch"": 242, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/20-55-42""}",8,927,17.371018383058473,320,0.0005033144879057433,0.3911017999367175,OFF,1024
72,COMPLETE,7.510347684224446,2026-01-23T21:07:00.551430,2026-01-23T21:18:46.428917,705.877487,"{""best_epoch"": 141, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/21-07-00""}",8,960,16.92645351513807,320,0.00041305266662049883,0.3908444792532147,OFF,1024
73,COMPLETE,8.130808635552723,2026-01-23T21:18:46.447828,2026-01-23T21:30:26.866924,700.419096,"{""best_epoch"": 240, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/21-18-46""}",8,953,17.149602141077484,320,0.0003113038429233994,0.3902089465117347,OFF,1024
74,COMPLETE,8.228186988830567,2026-01-23T21:30:26.889174,2026-01-23T21:41:29.153365,662.264191,"{""best_epoch"": 150, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/21-30-26""}",8,907,18.482873994014213,320,0.000449262284192752,0.3910019292299992,OFF,1024
75,PRUNED,18.628765551249185,2026-01-23T21:41:29.169602,2026-01-23T21:41:38.613047,9.443445,{},8,969,20.448765681494287,320,0.00042634097520920683,0.3784726066720734,OFF,1024
76,PRUNED,20.62798337539037,2026-01-23T21:41:38.620470,2026-01-23T21:43:06.995719,88.375249,{},8,934,16.69190392584081,256,0.0005783757216686908,0.36974375747544436,ON,1024
77,PRUNED,21.27824961344401,2026-01-23T21:43:07.003968,2026-01-23T21:43:14.506810,7.502842,{},8,994,19.134323804246105,320,0.0006676048367657896,0.21726670994813996,OFF,512
78,PRUNED,24.474724292755127,2026-01-23T21:43:14.514799,2026-01-23T21:43:27.836826,13.322027,{},64,890,17.645112858666458,160,0.0012454777118706128,0.39498041977090154,OFF,1024
79,PRUNED,20.381443150838216,2026-01-23T21:43:27.844786,2026-01-23T21:43:46.229305,18.384519,{},8,831,22.06184854886451,128,0.0010407088254244885,0.36667478966762673,OFF,1024
80,PRUNED,97.43401489257812,2026-01-23T21:43:46.237091,2026-01-23T21:43:55.400925,9.163834,{},48,970,121.36397830960952,320,0.0008090752712736766,0.3791880296282171,OFF,1024
81,PRUNED,10.022287193934122,2026-01-23T21:43:55.409214,2026-01-23T21:45:32.262980,96.853766,{},8,583,16.246173679634172,320,0.00032973160974162426,0.35687433152025194,OFF,1024
82,PRUNED,16.858838844299317,2026-01-23T21:45:32.273229,2026-01-23T21:45:41.745766,9.472537,{},8,924,18.182808146117413,320,0.000408478329713511,0.3912677136865779,OFF,1024
83,PRUNED,16.759056027730306,2026-01-23T21:45:41.752939,2026-01-23T21:45:51.887524,10.134585,{},8,721,16.763443208220774,320,0.00022969615424534636,0.3427947176405949,OFF,1024
84,PRUNED,18.084618377685548,2026-01-23T21:45:51.898517,2026-01-23T21:46:01.460929,9.562412,{},8,782,19.41253567820289,320,0.0005272350755754845,0.36285827380172175,OFF,1024
85,PRUNED,18.09370848337809,2026-01-23T21:46:01.469988,2026-01-23T21:46:08.996865,7.526877,{},8,871,20.543814971479208,320,0.0009358329702669542,0.3999068130829707,OFF,512
