number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
86,PRUNED,0.002238407420615355,2026-02-02T12:00:18.321594,2026-02-02T12:00:33.094485,14.772891,{},0.53555908119576,122.37530150985678,16,370,320,0.006581480887802787,OFF,2048
87,PRUNED,0.016611897759139536,2026-02-02T12:00:33.102056,2026-02-02T12:00:44.809338,11.707282,{},0.6689213008346239,105.19154216089657,48,459,160,0.007897367410657146,ON,1024
88,PRUNED,0.038506544195115566,2026-02-02T12:00:44.818109,2026-02-02T12:00:55.901308,11.083199,{},0.6074398716283087,108.38255731492177,32,224,512,0.008666381773156985,OFF,2048
89,PRUNED,17.31985181172689,2026-02-02T12:00:55.912707,2026-02-02T12:01:11.277143,15.364436,{},0.13793118392576237,116.84257777520841,16,399,320,0.006053652165077789,OFF,2048
90,PRUNED,0.0030746877038230497,2026-02-02T12:01:11.286346,2026-02-02T12:01:21.163250,9.876904,{},0.5881979091592658,110.82016712243382,16,528,256,0.004839191720592318,ON,1024
91,PRUNED,0.0037614151214559874,2026-02-02T12:01:21.171737,2026-02-02T12:01:36.300898,15.129161,{},0.559770977105788,127.96409943134479,16,336,320,0.004346577659990043,OFF,2048
92,PRUNED,1.269081387060093e-06,2026-02-02T12:01:36.308052,2026-02-02T12:04:00.736226,144.428174,{},0.6470080216485039,119.35911438599098,16,294,320,0.005560002356177073,OFF,2048
93,PRUNED,0.002280908978233735,2026-02-02T12:04:00.745065,2026-02-02T12:04:15.991437,15.246372,{},0.4946116203495632,121.30887192448169,16,253,320,0.006948045880498185,OFF,2048
94,COMPLETE,0.0,2026-02-02T12:04:16.001833,2026-02-02T12:09:46.449638,330.447805,"{""best_epoch"": 236, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/12-04-16""}",0.5771478883039339,115.02067922294225,16,342,320,0.009299864918630506,OFF,2048
95,PRUNED,0.0003970983185960601,2026-02-02T12:09:46.463623,2026-02-02T12:10:06.561651,20.098028,{},0.687337825354395,101.51093416200123,16,446,320,0.004068723866601524,OFF,2048
96,PRUNED,0.007898496638517827,2026-02-02T12:10:06.571279,2026-02-02T12:10:17.666188,11.094909,{},0.6244210989364918,107.28250844275244,32,380,512,0.005047810865639247,OFF,2048
97,PRUNED,0.01237356433024009,2026-02-02T12:10:17.673846,2026-02-02T12:10:28.507763,10.833917,{},0.3863853491346176,112.14983195053883,16,559,128,0.007745457407801745,ON,512
98,PRUNED,0.0184829564144214,2026-02-02T12:10:28.515731,2026-02-02T12:10:43.735201,15.21947,{},0.5674951062885123,125.06198222496728,16,419,320,0.0022468541738648387,OFF,2048
99,PRUNED,30.687803268432617,2026-02-02T12:10:43.744879,2026-02-02T12:10:52.068570,8.323691,{},0.6642373967320634,104.25699895930198,64,354,512,0.006636220099517004,OFF,1024
100,PRUNED,0.5189488649368286,2026-02-02T12:10:52.078791,2026-02-02T12:11:03.222270,11.143479,{},0.5978877215879073,117.77217673754471,48,317,320,0.009148118290709075,ON,2048
101,COMPLETE,0.0,2026-02-02T12:11:03.239058,2026-02-02T12:15:41.385363,278.146305,"{""best_epoch"": 219, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/12-11-03""}",0.6512564132062201,109.7943164609502,16,295,320,0.009870150394714068,OFF,2048
102,COMPLETE,0.0,2026-02-02T12:15:41.397528,2026-02-02T12:21:24.808653,343.411125,"{""best_epoch"": 219, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/12-15-41""}",0.6784196926263972,114.23296840342582,16,366,320,0.008010889639493647,OFF,2048
103,PRUNED,0.0018843347517152628,2026-02-02T12:21:24.821018,2026-02-02T12:21:40.194125,15.373107,{},0.6410647938567852,107.15485746005685,16,674,320,0.0063890800140443274,OFF,2048
104,COMPLETE,0.0,2026-02-02T12:21:40.203805,2026-02-02T12:28:07.047545,386.84374,"{""best_epoch"": 226, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/12-21-40""}",0.6890548813148076,111.1545309253401,16,411,320,0.0073195470677470615,OFF,2048
105,PRUNED,0.00329605839215219,2026-02-02T12:28:07.062780,2026-02-02T12:28:22.045308,14.982528,{},0.6146088228991496,99.31288735957597,16,286,320,0.004703975690912554,OFF,2048
106,PRUNED,3.152700960636139,2026-02-02T12:28:22.054200,2026-02-02T12:28:29.863903,7.809703,{},0.6700028751930366,122.70576702494299,32,1000,512,0.0034643203086989196,OFF,1024
107,PRUNED,0.008586060100545486,2026-02-02T12:28:29.874821,2026-02-02T12:28:43.321541,13.44672,{},0.6318811146526502,30.499930137967993,8,324,320,0.009975109351542786,ON,2048
108,PRUNED,46.34258270263672,2026-02-02T12:28:43.330060,2026-02-02T12:28:52.934853,9.604793,{},0.5467001113849097,102.96551236088001,16,185,320,0.0002730899295289215,OFF,1024
109,PRUNED,3.839532098481868e-07,2026-02-02T12:28:52.943366,2026-02-02T12:30:57.091908,124.148542,{},0.6608795715886944,119.37513582861277,16,252,512,0.005485560527110961,OFF,2048
110,PRUNED,23.456254243850708,2026-02-02T12:30:57.102783,2026-02-02T12:31:07.061910,9.959127,{},0.30351252676516094,97.28549858638641,32,463,128,0.008669852917966155,ON,512
111,PRUNED,0.0018613640607024232,2026-02-02T12:31:07.069573,2026-02-02T12:31:21.756150,14.686577,{},0.5994529463662525,116.19288084956108,16,487,320,0.00623102664983733,OFF,2048
112,PRUNED,0.002161106513813138,2026-02-02T12:31:21.763334,2026-02-02T12:31:37.346139,15.582805,{},0.5803841328172838,120.81746051563196,16,435,320,0.005325161896325019,OFF,2048
113,COMPLETE,0.0,2026-02-02T12:31:37.354671,2026-02-02T12:41:18.807062,581.452391,"{""best_epoch"": 233, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/12-31-37""}",0.6238127907955142,125.99271081076532,16,622,320,0.007002747780851184,OFF,2048
114,PRUNED,63.86432774861654,2026-02-02T12:41:18.821626,2026-02-02T12:41:34.264980,15.443354,{},0.647857533101547,122.8910302178889,16,401,320,0.00010455059841078378,OFF,2048
115,PRUNED,26.282579803466795,2026-02-02T12:41:34.273957,2026-02-02T12:42:01.750272,27.476315,{},0.25738118073693683,113.25202129729713,16,358,160,0.003837546654427116,OFF,2048
116,PRUNED,1.405676063844415e-07,2026-02-02T12:42:01.759907,2026-02-02T12:44:12.674122,130.914215,{},0.6017845861523398,106.31363657803223,16,517,320,0.00826090357345573,OFF,1024
117,COMPLETE,0.0,2026-02-02T12:44:12.683826,2026-02-02T12:47:43.268616,210.58479,"{""best_epoch"": 234, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/12-44-12""}",0.6917302600820119,110.04449616391486,16,582,256,0.005744777810090536,ON,2048
118,PRUNED,0.0771945621818304,2026-02-02T12:47:43.284278,2026-02-02T12:47:50.813229,7.528951,{},0.5715704181369285,117.68373583545834,32,376,512,0.0075841452207610575,OFF,1024
